2023-09-20/16:10:20		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/11:58:57		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/11:58:57		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:00:33		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:00:34		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:00:34		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:00:34		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:00:35		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:00:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:00:35		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:00:36		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:00:36		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:01:25		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:01:25		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:01:25		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:01:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:01:26		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:01:26		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:01:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:01:27		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:01:27		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:02:14		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:02:14		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:02:14		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:02:15		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:02:15		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:02:15		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:02:16		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:02:16		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:02:16		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:03:13		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:03:13		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:03:13		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:03:13		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:03:14		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:03:14		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:03:15		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:03:15		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:03:15		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:04:05		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:04:06		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:04:06		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:04:06		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:04:07		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:04:07		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:04:07		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:04:08		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:04:08		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:05:07		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:05:07		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:05:08		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:05:08		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:05:08		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:05:09		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:05:09		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:05:10		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:05:10		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:08:45		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:08:45		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:08:46		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:08:46		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:08:47		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:08:47		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:08:47		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:08:48		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:08:48		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:27:42		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:27:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:27:42		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:27:43		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:27:43		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:27:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:27:45		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:27:46		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:27:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:28:19		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:28:19		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:28:19		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:28:20		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:28:20		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:28:20		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:28:22		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:28:22		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:28:23		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:28:55		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:28:55		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:28:55		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:28:56		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:28:56		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:28:56		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:28:58		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:28:58		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:28:58		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:30:09		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:30:09		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:30:10		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:30:10		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:30:10		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:30:11		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:30:11		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:30:12		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:30:12		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:48:52		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:48:53		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:48:53		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:48:54		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:48:54		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:48:54		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:48:55		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:48:56		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:48:56		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:52:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:52:29		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:52:29		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:52:30		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:52:30		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:52:30		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:52:32		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:52:33		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:52:33		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:53:28		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:53:28		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:53:29		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:53:29		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:53:29		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:53:30		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:53:31		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:53:31		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:53:32		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/12:58:47		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/12:58:47		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/12:58:47		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/12:58:48		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/12:58:48		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/12:58:48		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/12:58:49		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/12:58:50		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/12:58:50		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/13:01:11		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/13:01:11		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/13:01:12		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/13:01:12		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/13:01:12		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/13:01:13		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/13:01:14		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/13:01:14		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/13:01:15		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/15:03:59		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/15:03:59		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/15:04:00		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/15:04:00		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/15:04:00		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/15:04:01		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/15:04:01		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/15:04:02		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/15:04:02		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/15:05:06		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/15:05:07		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/15:05:07		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/15:05:08		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/15:05:08		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/15:05:08		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/15:05:10		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/15:05:11		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/15:05:11		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/15:07:26		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/15:07:27		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/15:07:27		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/15:07:28		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/15:07:28		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/15:07:28		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/15:07:29		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/15:07:30		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/15:07:30		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/15:07:45		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/15:07:45		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/15:07:46		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/15:07:46		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/15:07:47		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/15:07:47		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/15:07:48		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/15:07:48		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/15:07:49		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/15:08:22		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/15:08:23		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/15:08:23		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/15:08:24		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/15:08:24		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/15:08:24		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/15:08:25		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/15:08:25		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/15:08:26		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/15:10:26		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/15:10:27		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/15:10:27		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/15:10:27		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/15:10:28		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/15:10:28		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/15:10:29		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/15:10:29		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/15:10:30		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/15:10:53		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/15:10:53		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/15:10:53		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/15:10:54		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/15:10:54		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/15:10:55		 wafer_27012020_080911.csv: File Transformed successfully!!
